Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
HU-24-EX1-OT1-MBTR_A_PB2	 87	 474	 192.98	 35.00	 38.65	 37.69	 0.00
HU-24-EX1-OT2-UNI_A_HA_H1	 144	 14807	 5560.18	 34.87	 38.69	 37.91	 0.00
HU-24-EX1-OT2-UNI_A_MP	 3783	 37516	 28145.30	 33.77	 38.46	 37.66	 0.00
HU-24-EX1-OT2-UNI_A_NA_N1	 227	 3312	 2353.00	 34.36	 38.59	 37.80	 0.00
HU-24-EX1-OT2-UNI_A_NP	 265	 2840	 2214.65	 30.41	 38.58	 37.50	 0.00
HU-24-EX1-OT2-UNI_A_NS	 5094	 34595	 26794.10	 31.29	 38.46	 36.92	 0.00
HU-24-EX1-OT2-UNI_A_PA	 46	 376	 188.99	 34.77	 38.71	 37.75	 0.79
HU-24-EX1-OT2-UNI_A_PB1	 5	 318	 84.33	 33.82	 39.11	 37.95	 52.48
HU-24-EX1-OT2-UNI_A_PB2	 328	 2243	 663.15	 34.86	 38.62	 37.84	 0.00
HU-24-EX1-OT3-MBTA_A_HA_H1	 122	 14140	 5267.26	 32.78	 38.49	 37.12	 0.00
HU-24-EX1-OT3-MBTA_A_MP	 2390	 26289	 19163.00	 33.18	 38.19	 37.23	 0.00
HU-24-EX1-OT3-MBTA_A_NA_N1	 158	 2967	 2053.77	 33.86	 38.45	 37.15	 0.00
HU-24-EX1-OT3-MBTA_A_NP	 257	 2828	 2213.13	 30.79	 38.27	 36.91	 0.00
HU-24-EX1-OT3-MBTA_A_NS	 3312	 25372	 18937.00	 31.65	 38.09	 36.50	 0.00
HU-24-EX1-OT3-MBTA_A_PA	 27	 318	 137.38	 31.59	 38.70	 37.04	 3.67
HU-24-EX1-OT3-MBTA_A_PB1	 2	 257	 73.20	 30.88	 39.17	 37.33	 53.19
HU-24-EX1-OT3-MBTA_A_PB2	 238	 1944	 529.40	 33.74	 38.30	 37.04	 0.00
HU-25-EX1-OT1-MBTR_A_HA_H3	 368	 2003	 1597.35	 35.27	 38.71	 38.02	 0.00
HU-25-EX1-OT1-MBTR_A_MP	 2545	 30148	 22384.10	 35.07	 38.58	 37.74	 0.00
HU-25-EX1-OT1-MBTR_A_NA_N2	 347	 3245	 2252.60	 35.17	 38.71	 38.08	 0.00
HU-25-EX1-OT1-MBTR_A_NP	 357	 4013	 3154.88	 34.48	 38.66	 37.69	 0.00
HU-25-EX1-OT1-MBTR_A_NS	 3591	 21470	 15678.10	 34.39	 38.58	 37.61	 0.00
HU-25-EX1-OT1-MBTR_A_PA	 373	 1307	 684.78	 35.20	 38.75	 38.10	 0.00
HU-25-EX1-OT1-MBTR_A_PB1	 78	 602	 292.34	 35.96	 38.82	 38.10	 0.00
HU-25-EX1-OT1-MBTR_A_PB2	 185	 650	 485.10	 35.24	 38.76	 38.03	 0.00
HU-25-EX1-OT2-UNI_A_HA_H3	 1426	 10035	 7560.23	 34.48	 38.58	 37.75	 0.00
HU-25-EX1-OT2-UNI_A_MP	 3133	 26911	 20516.20	 33.83	 38.36	 37.47	 0.00
HU-25-EX1-OT2-UNI_A_NA_N2	 655	 7695	 5327.78	 34.00	 38.51	 37.72	 0.00
HU-25-EX1-OT2-UNI_A_NP	 471	 4735	 3553.19	 33.16	 38.40	 37.42	 0.00
HU-25-EX1-OT2-UNI_A_NS	 2399	 17349	 12649.10	 34.21	 38.36	 37.49	 0.00
HU-25-EX1-OT2-UNI_A_PA	 1087	 5330	 2589.10	 34.48	 38.57	 37.83	 0.00
HU-25-EX1-OT2-UNI_A_PB1	 255	 3028	 1983.21	 34.21	 38.52	 37.84	 0.00
HU-25-EX1-OT2-UNI_A_PB2	 899	 4201	 3157.22	 34.79	 38.54	 37.79	 0.00
HU-25-EX1-OT3-MBTA_A_HA_H3	 1033	 7974	 5949.76	 33.30	 38.40	 37.07	 0.00
HU-25-EX1-OT3-MBTA_A_MP	 728	 9046	 6481.87	 33.65	 38.19	 37.15	 0.00
HU-25-EX1-OT3-MBTA_A_NA_N2	 381	 4877	 3218.67	 33.23	 38.19	 37.15	 0.00
HU-25-EX1-OT3-MBTA_A_NP	 128	 1955	 1413.21	 33.12	 38.25	 36.96	 0.00
HU-25-EX1-OT3-MBTA_A_NS	 417	 3286	 2388.80	 34.14	 38.23	 37.30	 0.00
HU-25-EX1-OT3-MBTA_A_PA	 672	 4106	 1913.45	 33.56	 38.31	 37.18	 0.00
HU-25-EX1-OT3-MBTA_A_PB1	 163	 2594	 1673.95	 33.21	 38.25	 37.10	 0.00
HU-25-EX1-OT3-MBTA_A_PB2	 685	 3512	 2679.96	 33.88	 38.27	 36.98	 0.00
HU-26-EX1-OT1-MBTR_A_HA_H1	 57	 739	 500.54	 35.21	 38.89	 38.04	 0.00
HU-26-EX1-OT1-MBTR_A_MP	 1718	 16363	 12272.00	 34.88	 38.52	 37.92	 0.00
HU-26-EX1-OT1-MBTR_A_NA_N1	 239	 2530	 1757.09	 35.42	 38.72	 38.02	 0.00
HU-26-EX1-OT1-MBTR_A_NP	 191	 1708	 1358.43	 30.66	 38.62	 37.65	 0.00
HU-26-EX1-OT1-MBTR_A_NS	 2211	 12975	 9813.73	 30.27	 38.53	 37.42	 0.00
HU-26-EX1-OT1-MBTR_A_PA	 126	 536	 403.04	 35.07	 38.77	 37.98	 0.00
HU-26-EX1-OT1-MBTR_A_PB1	 51	 295	 123.60	 35.43	 38.96	 38.04	 0.00
HU-26-EX1-OT1-MBTR_A_PB2	 186	 765	 375.97	 35.94	 38.69	 37.91	 0.00
HU-26-EX1-OT2-UNI_A_HA_H1	 771	 14783	 9544.91	 34.78	 38.63	 37.78	 0.00
HU-26-EX1-OT2-UNI_A_MP	 1564	 18519	 13068.10	 33.97	 38.52	 37.82	 0.00
HU-26-EX1-OT2-UNI_A_NA_N1	 660	 10469	 7365.27	 34.69	 38.70	 37.79	 0.00
HU-26-EX1-OT2-UNI_A_NP	 558	 7279	 5810.43	 32.64	 38.56	 37.64	 0.00
HU-26-EX1-OT2-UNI_A_NS	 2450	 19436	 13750.20	 33.54	 38.64	 37.91	 0.00
HU-26-EX1-OT2-UNI_A_PA	 474	 4114	 2806.40	 34.35	 38.78	 37.71	 0.00
HU-26-EX1-OT2-UNI_A_PB1	 61	 510	 176.74	 35.14	 38.77	 37.90	 0.00
HU-26-EX1-OT2-UNI_A_PB2	 1233	 6132	 4898.74	 35.24	 38.57	 37.76	 0.00
HU-26-EX1-OT3-MBTA_A_HA_H1	 19	 161	 110.59	 33.53	 38.74	 37.73	 4.00
HU-26-EX1-OT3-MBTA_A_MP	 607	 5498	 3904.37	 34.76	 38.52	 37.84	 0.00
HU-26-EX1-OT3-MBTA_A_NA_N1	 81	 1075	 745.63	 35.62	 38.77	 37.82	 0.00
HU-26-EX1-OT3-MBTA_A_NP	 67	 427	 314.57	 33.12	 38.72	 37.57	 0.00
HU-26-EX1-OT3-MBTA_A_NS	 891	 4081	 3124.43	 33.93	 38.52	 37.81	 0.00
HU-26-EX1-OT3-MBTA_A_PA	 4	 48	 24.41	 32.13	 39.00	 37.66	 99.95
HU-26-EX1-OT3-MBTA_A_PB1	 1	 50	 13.36	 18.00	 39.20	 37.73	 99.87
HU-26-EX1-OT3-MBTA_A_PB2	 13	 236	 58.62	 34.07	 38.92	 38.00	 71.59
HU-27-EX1-OT1-MBTR_A_HA_H3	 864	 4689	 3692.59	 35.91	 38.78	 38.09	 0.00
HU-27-EX1-OT1-MBTR_A_MP	 3642	 25127	 18830.10	 35.29	 38.66	 38.08	 0.00
HU-27-EX1-OT1-MBTR_A_NA_N2	 778	 6426	 4636.29	 35.15	 38.71	 38.13	 0.00
HU-27-EX1-OT1-MBTR_A_NP	 978	 6670	 5168.31	 34.40	 38.65	 37.97	 0.00
