Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
HU-6-EX2-OT1-UNI_A_PA	 371	 2944	 2197.87	 35.09	 38.76	 37.62	 0.00
HU-6-EX2-OT1-UNI_A_PB1	 52	 1292	 960.81	 35.19	 38.55	 37.72	 0.00
HU-6-EX2-OT1-UNI_A_PB2	 716	 4496	 3664.36	 34.95	 38.47	 37.60	 0.00
HU-6-EX2-OT2-MBT_A_HA_H1	 354	 4011	 2949.84	 35.68	 38.58	 37.68	 0.00
HU-6-EX2-OT2-MBT_A_MP	 975	 7668	 5391.52	 34.98	 38.53	 37.83	 0.00
HU-6-EX2-OT2-MBT_A_NA_N1	 537	 6526	 4748.61	 35.27	 38.69	 37.82	 0.00
HU-6-EX2-OT2-MBT_A_NP	 459	 4009	 3180.19	 33.69	 38.54	 37.60	 0.00
HU-6-EX2-OT2-MBT_A_NS	 1419	 8880	 6473.16	 34.08	 38.60	 37.84	 0.00
HU-6-EX2-OT2-MBT_A_PA	 246	 1662	 1096.82	 34.95	 38.83	 37.68	 0.00
HU-6-EX2-OT2-MBT_A_PB1	 47	 449	 311.29	 36.00	 38.82	 37.88	 0.44
HU-6-EX2-OT2-MBT_A_PB2	 439	 2526	 1979.28	 35.26	 38.51	 37.69	 0.00
HU-6-EX2-OT2-UNI_A_HA_H1	 39	 3188	 1442.86	 35.49	 38.67	 37.75	 0.53
HU-6-EX2-OT2-UNI_A_MP	 245	 2547	 1791.79	 34.21	 38.51	 37.81	 0.00
HU-6-EX2-OT2-UNI_A_NA_N1	 75	 1809	 1270.07	 35.31	 38.72	 37.77	 0.00
HU-6-EX2-OT2-UNI_A_NP	 76	 1062	 820.28	 33.66	 38.54	 37.60	 0.00
HU-6-EX2-OT2-UNI_A_NS	 400	 3448	 2496.88	 33.65	 38.49	 37.74	 0.00
HU-6-EX2-OT2-UNI_A_PA	 27	 210	 137.46	 34.69	 38.81	 37.62	 1.39
HU-6-EX2-OT2-UNI_A_PB1	 21	 277	 127.52	 34.92	 38.91	 37.85	 4.04
HU-6-EX2-OT2-UNI_A_PB2	 104	 663	 503.13	 35.36	 38.69	 37.70	 0.00
HU-7-EX2-OT1-MBT_A_HA_H3	 462	 3510	 2553.50	 35.42	 38.55	 37.62	 0.00
HU-7-EX2-OT1-MBT_A_MP	 1481	 12971	 9194.20	 34.71	 38.48	 37.76	 0.00
HU-7-EX2-OT1-MBT_A_NA_N2	 500	 5422	 3628.73	 34.69	 38.49	 37.72	 0.00
HU-7-EX2-OT1-MBT_A_NP	 316	 3560	 2565.63	 34.00	 38.56	 37.56	 0.00
HU-7-EX2-OT1-MBT_A_NS	 1749	 10748	 7952.21	 35.05	 38.58	 37.89	 0.00
HU-7-EX2-OT1-MBT_A_PA	 367	 1460	 1039.47	 35.62	 38.61	 37.75	 0.00
HU-7-EX2-OT1-MBT_A_PB1	 181	 1541	 1124.32	 34.59	 38.54	 37.63	 0.00
HU-7-EX2-OT1-MBT_A_PB2	 429	 1854	 1363.21	 35.41	 38.57	 37.61	 0.00
HU-7-EX2-OT1-UNI_A_HA_H3	 627	 4458	 3325.71	 35.22	 38.68	 37.66	 0.00
HU-7-EX2-OT1-UNI_A_MP	 565	 5279	 3825.92	 35.26	 38.54	 37.75	 0.00
HU-7-EX2-OT1-UNI_A_NA_N2	 90	 1557	 1090.00	 34.80	 38.58	 37.73	 0.00
HU-7-EX2-OT1-UNI_A_NP	 239	 3350	 2431.69	 34.46	 38.46	 37.53	 0.00
HU-7-EX2-OT1-UNI_A_NS	 543	 4307	 3126.49	 34.77	 38.54	 37.85	 0.00
HU-7-EX2-OT1-UNI_A_PA	 335	 4121	 2536.53	 34.96	 38.60	 37.68	 0.00
HU-7-EX2-OT1-UNI_A_PB1	 205	 2756	 2160.23	 35.33	 38.48	 37.65	 0.00
HU-7-EX2-OT1-UNI_A_PB2	 425	 3262	 2461.73	 35.49	 38.49	 37.55	 0.00
HU-7-EX2-OT2-MBT_A_HA_H3	 140	 808	 622.06	 35.86	 38.74	 37.89	 0.00
HU-7-EX2-OT2-MBT_A_MP	 301	 2232	 1666.30	 35.29	 38.67	 37.94	 0.00
HU-7-EX2-OT2-MBT_A_NA_N2	 130	 986	 704.58	 35.62	 38.71	 38.00	 0.00
HU-7-EX2-OT2-MBT_A_NP	 82	 697	 528.39	 35.27	 38.57	 37.77	 0.00
HU-7-EX2-OT2-MBT_A_NS	 194	 984	 698.95	 35.42	 38.73	 38.07	 0.00
HU-7-EX2-OT2-MBT_A_PA	 41	 233	 167.77	 35.48	 38.87	 37.95	 2.28
HU-7-EX2-OT2-MBT_A_PB1	 15	 155	 116.49	 35.64	 38.92	 37.91	 5.49
HU-7-EX2-OT2-MBT_A_PB2	 66	 313	 227.53	 36.02	 38.70	 37.81	 0.00
HU-7-EX2-OT2-UNI_A_HA_H3	 40	 350	 248.12	 36.12	 38.78	 37.94	 1.00
HU-7-EX2-OT2-UNI_A_MP	 80	 738	 546.94	 35.63	 38.69	 38.00	 0.00
HU-7-EX2-OT2-UNI_A_NA_N2	 26	 204	 147.74	 36.07	 38.78	 38.02	 4.68
HU-7-EX2-OT2-UNI_A_NP	 7	 189	 135.04	 34.82	 38.68	 37.79	 4.07
HU-7-EX2-OT2-UNI_A_NS	 25	 234	 173.64	 36.44	 38.79	 38.10	 5.72
HU-7-EX2-OT2-UNI_A_PA	 18	 112	 76.31	 35.07	 38.86	 37.91	 9.85
HU-7-EX2-OT2-UNI_A_PB1	 4	 125	 73.40	 31.75	 38.82	 37.95	 15.30
HU-7-EX2-OT2-UNI_A_PB2	 23	 122	 87.80	 35.43	 38.87	 37.74	 5.61
HU-8-EX2-OT1-MBT_A_HA_H3	 229	 1758	 1281.00	 35.26	 38.62	 37.66	 0.00
HU-8-EX2-OT1-MBT_A_MP	 1703	 14952	 10512.70	 34.95	 38.50	 37.77	 0.00
HU-8-EX2-OT1-MBT_A_NA_N2	 166	 2035	 1353.37	 35.36	 38.49	 37.73	 0.00
HU-8-EX2-OT1-MBT_A_NP	 284	 3001	 2205.27	 34.62	 38.46	 37.57	 0.00
HU-8-EX2-OT1-MBT_A_NS	 736	 4971	 3590.60	 35.00	 38.56	 37.87	 0.00
HU-8-EX2-OT1-MBT_A_PA	 96	 831	 535.41	 35.00	 38.78	 37.74	 0.00
HU-8-EX2-OT1-MBT_A_PB1	 72	 663	 462.31	 35.24	 38.56	 37.66	 0.00
HU-8-EX2-OT1-MBT_A_PB2	 78	 436	 320.47	 35.47	 38.68	 37.63	 0.00
HU-8-EX2-OT1-UNI_A_HA_H3	 460	 3061	 2445.11	 35.45	 38.65	 37.79	 0.00
HU-8-EX2-OT1-UNI_A_MP	 419	 4317	 2969.32	 35.13	 38.60	 37.85	 0.00
HU-8-EX2-OT1-UNI_A_NA_N2	 82	 1054	 784.57	 35.00	 38.67	 37.86	 0.00
HU-8-EX2-OT1-UNI_A_NP	 148	 2127	 1597.56	 34.14	 38.54	 37.65	 0.00
HU-8-EX2-OT1-UNI_A_NS	 221	 2220	 1586.56	 34.89	 38.61	 37.92	 0.00
HU-8-EX2-OT1-UNI_A_PA	 85	 1782	 1046.55	 35.16	 38.79	 37.79	 0.00
HU-8-EX2-OT1-UNI_A_PB1	 104	 1543	 1129.50	 35.45	 38.55	 37.74	 0.00
HU-8-EX2-OT1-UNI_A_PB2	 225	 1747	 1318.56	 35.67	 38.56	 37.71	 0.00
HU-8-EX2-OT2-MBT_A_HA_H3	 49	 329	 233.58	 34.27	 38.83	 37.63	 0.06
HU-8-EX2-OT2-MBT_A_MP	 184	 1563	 1129.63	 34.69	 38.47	 37.71	 0.00
HU-8-EX2-OT2-MBT_A_NA_N2	 41	 485	 325.96	 34.85	 38.53	 37.58	 0.14
HU-8-EX2-OT2-MBT_A_NP	 50	 471	 346.21	 34.34	 38.64	 37.52	 0.00
HU-8-EX2-OT2-MBT_A_NS	 132	 808	 571.33	 34.74	 38.47	 37.75	 0.00
HU-8-EX2-OT2-MBT_A_PA	 19	 163	 96.36	 35.06	 38.92	 37.70	 9.76
HU-8-EX2-OT2-MBT_A_PB1	 5	 75	 41.91	 34.24	 39.00	 37.48	 68.22
HU-8-EX2-OT2-MBT_A_PB2	 16	 90	 66.73	 34.90	 38.90	 37.59	 10.39
HU-8-EX2-OT2-UNI_A_HA_H3	 105	 704	 544.98	 35.46	 38.81	 37.83	 0.00
HU-8-EX2-OT2-UNI_A_MP	 97	 1405	 1038.81	 35.47	 38.60	 37.92	 0.00
HU-8-EX2-OT2-UNI_A_NA_N2	 24	 229	 150.50	 36.05	 38.83	 38.05	 7.80
HU-8-EX2-OT2-UNI_A_NP	 11	 168	 127.50	 34.75	 38.75	 37.78	 3.47
HU-8-EX2-OT2-UNI_A_NS	 63	 435	 318.94	 35.44	 38.70	 38.00	 0.00
HU-8-EX2-OT2-UNI_A_PA	 31	 255	 173.69	 34.31	 38.87	 37.87	 3.07
HU-8-EX2-OT2-UNI_A_PB1	 12	 256	 163.10	 34.65	 39.00	 37.85	 4.84
HU-8-EX2-OT2-UNI_A_PB2	 18	 118	 82.30	 34.39	 38.93	 37.79	 9.34
AV-10-EX2-OT1-MBT_A_HA_H9	 168	 1892	 1457.41	 35.83	 38.75	 37.93	 0.00
AV-10-EX2-OT1-MBT_A_MP	 673	 5119	 3614.90	 34.18	 38.45	 37.83	 0.00
AV-10-EX2-OT1-MBT_A_NA_N2	 113	 1943	 1288.97	 36.06	 38.66	 37.98	 0.00
AV-10-EX2-OT1-MBT_A_NP	 288	 2050	 1581.40	 34.04	 38.63	 37.79	 0.00
AV-10-EX2-OT1-MBT_A_NS	 1313	 7494	 5699.22	 35.61	 38.71	 37.95	 0.00
AV-10-EX2-OT1-MBT_A_PA	 134	 898	 655.43	 35.41	 38.68	 37.75	 0.00
AV-10-EX2-OT1-MBT_A_PB1	 23	 552	 252.19	 34.77	 38.82	 37.82	 2.73
AV-10-EX2-OT1-MBT_A_PB2	 129	 881	 616.25	 35.48	 38.70	 37.87	 0.00
AV-10-EX2-OT1-UNI_A_HA_H9	 72	 1478	 1074.27	 36.08	 38.75	 38.00	 0.00
AV-10-EX2-OT1-UNI_A_MP	 118	 1651	 1086.58	 33.29	 38.62	 37.88	 0.00
AV-10-EX2-OT1-UNI_A_NA_N2	 20	 770	 501.13	 35.83	 38.74	 38.04	 2.41
AV-10-EX2-OT1-UNI_A_NP	 33	 624	 427.18	 33.36	 38.71	 37.83	 0.33
AV-10-EX2-OT1-UNI_A_NS	 100	 1301	 865.38	 35.45	 38.74	 37.96	 0.00
AV-10-EX2-OT1-UNI_A_PA	 47	 384	 253.45	 35.76	 38.85	 37.89	 0.46
AV-10-EX2-OT1-UNI_A_PB1	 41	 3835	 1286.98	 35.04	 38.70	 37.92	 0.18
AV-10-EX2-OT1-UNI_A_PB2	 133	 1342	 872.47	 35.44	 38.65	 37.94	 0.00
AV-10-EX2-OT2-MBT_A_HA_H9	 21	 236	 176.42	 35.34	 38.87	 37.79	 1.84
AV-10-EX2-OT2-MBT_A_MP	 181	 1347	 983.37	 33.51	 38.50	 37.65	 0.00
AV-10-EX2-OT2-MBT_A_NA_N2	 19	 319	 197.68	 35.28	 38.78	 37.95	 5.67
AV-10-EX2-OT2-MBT_A_NP	 22	 247	 189.47	 32.50	 38.73	 37.59	 0.80
AV-10-EX2-OT2-MBT_A_NS	 450	 2519	 1942.37	 35.35	 38.59	 37.82	 0.00
AV-10-EX2-OT2-MBT_A_PA	 9	 124	 76.57	 34.96	 38.81	 37.70	 15.85
AV-10-EX2-OT2-MBT_A_PB1	 1	 51	 24.42	 31.64	 39.00	 37.34	 99.60
AV-10-EX2-OT2-MBT_A_PB2	 8	 93	 59.48	 33.75	 38.92	 37.87	 25.03
AV-10-EX2-OT2-UNI_A_HA_H9	 15	 261	 183.38	 35.54	 38.92	 38.03	 3.09
AV-10-EX2-OT2-UNI_A_MP	 49	 665	 484.83	 33.68	 38.61	 37.76	 0.10
AV-10-EX2-OT2-UNI_A_NA_N2	 16	 198	 134.02	 36.37	 38.87	 38.06	 6.95
AV-10-EX2-OT2-UNI_A_NP	 34	 520	 375.86	 33.44	 38.62	 37.77	 0.33
AV-10-EX2-OT2-UNI_A_NS	 461	 3496	 2679.60	 35.85	 38.71	 38.01	 0.00
AV-10-EX2-OT2-UNI_A_PA	 28	 151	 111.98	 35.66	 38.87	 37.88	 4.00
AV-10-EX2-OT2-UNI_A_PB1	 1	 3370	 890.23	 13.00	 39.33	 37.44	 60.57
AV-10-EX2-OT2-UNI_A_PB2	 12	 128	 87.92	 34.38	 38.88	 38.00	 18.59
AV-11-EX2-OT1-MBT_A_HA_H9	 68	 817	 602.46	 35.49	 38.77	 37.89	 0.00
AV-11-EX2-OT1-MBT_A_MP	 1106	 8816	 6282.31	 33.72	 38.48	 37.78	 0.00
AV-11-EX2-OT1-MBT_A_NA_N2	 220	 2670	 1857.63	 35.81	 38.63	 37.93	 0.00
AV-11-EX2-OT1-MBT_A_NP	 155	 1477	 1106.62	 33.90	 38.61	 37.72	 0.00
AV-11-EX2-OT1-MBT_A_NS	 1292	 6890	 5269.24	 35.44	 38.67	 37.90	 0.00
AV-11-EX2-OT1-MBT_A_PA	 264	 1442	 1053.69	 35.45	 38.70	 37.72	 0.00
AV-11-EX2-OT1-MBT_A_PB1	 49	 533	 409.48	 34.30	 38.72	 37.79	 0.09
AV-11-EX2-OT1-MBT_A_PB2	 103	 792	 550.13	 34.95	 38.64	 37.78	 0.00
AV-11-EX2-OT1-UNI_A_HA_H9	 32	 1381	 950.45	 34.57	 38.69	 37.57	 0.42
AV-11-EX2-OT1-UNI_A_MP	 217	 2648	 1806.30	 33.67	 38.41	 37.48	 0.00
AV-11-EX2-OT1-UNI_A_NA_N2	 11	 545	 335.00	 34.40	 38.57	 37.68	 4.04
AV-11-EX2-OT1-UNI_A_NP	 114	 1812	 1219.50	 33.52	 38.49	 37.39	 0.00
AV-11-EX2-OT1-UNI_A_NS	 234	 2301	 1610.99	 34.27	 38.63	 37.59	 0.00
AV-11-EX2-OT1-UNI_A_PA	 158	 2073	 1361.66	 34.41	 38.55	 37.45	 0.00
AV-11-EX2-OT1-UNI_A_PB1	 23	 4202	 1307.90	 33.25	 38.51	 37.43	 2.11
AV-11-EX2-OT1-UNI_A_PB2	 104	 1358	 880.25	 34.35	 38.44	 37.51	 0.00
AV-11-EX2-OT2-MBT_A_HA_H9	 178	 1517	 1130.76	 36.12	 38.74	 38.05	 0.00
AV-11-EX2-OT2-MBT_A_MP	 891	 6600	 4883.21	 33.94	 38.55	 37.92	 0.00
AV-11-EX2-OT2-MBT_A_NA_N2	 157	 1565	 1068.17	 36.38	 38.71	 38.11	 0.00
AV-11-EX2-OT2-MBT_A_NP	 203	 2001	 1544.48	 34.07	 38.64	 37.89	 0.00
AV-11-EX2-OT2-MBT_A_NS	 931	 5108	 4005.13	 35.94	 38.72	 38.01	 0.00
AV-11-EX2-OT2-MBT_A_PA	 169	 1075	 790.74	 36.01	 38.82	 37.94	 0.00
AV-11-EX2-OT2-MBT_A_PB1	 16	 299	 177.53	 34.14	 38.82	 37.87	 3.56
AV-11-EX2-OT2-MBT_A_PB2	 58	 442	 330.86	 35.83	 38.71	 37.96	 0.00
AV-11-EX2-OT2-UNI_A_HA_H9	 87	 1852	 1297.44	 33.37	 38.25	 37.01	 0.00
AV-11-EX2-OT2-UNI_A_MP	 316	 3765	 2706.74	 32.71	 38.00	 36.88	 0.00
AV-11-EX2-OT2-UNI_A_NA_N2	 40	 956	 636.74	 34.17	 38.25	 37.06	 0.85
AV-11-EX2-OT2-UNI_A_NP	 93	 1959	 1372.12	 33.20	 38.06	 36.79	 0.00
AV-11-EX2-OT2-UNI_A_NS	 581	 4323	 3278.02	 33.57	 38.27	 37.09	 0.00
AV-11-EX2-OT2-UNI_A_PA	 141	 1558	 1156.16	 33.11	 38.13	 36.78	 0.00
AV-11-EX2-OT2-UNI_A_PB1	 4	 5882	 1577.81	 27.80	 38.53	 36.78	 6.07
AV-11-EX2-OT2-UNI_A_PB2	 45	 598	 390.65	 33.95	 38.32	 36.94	 0.31
AV-12-EX2-OT1-MBT_A_HA_H6	 89	 1272	 965.01	 35.32	 38.56	 37.65	 0.00
AV-12-EX2-OT1-MBT_A_MP	 157	 1065	 808.98	 32.98	 38.36	 37.62	 0.00
AV-12-EX2-OT1-MBT_A_NA_N2	 52	 999	 669.70	 35.82	 38.49	 37.72	 0.00
AV-12-EX2-OT1-MBT_A_NP	 44	 472	 346.24	 33.09	 38.58	 37.45	 0.27
AV-12-EX2-OT1-MBT_A_NS	 86	 753	 552.19	 34.11	 38.64	 37.82	 0.00
AV-12-EX2-OT1-MBT_A_PA	 25	 166	 128.34	 34.29	 38.78	 37.52	 5.20
AV-12-EX2-OT1-UNI_A_HA_H6	 11	 1014	 427.27	 34.98	 38.74	 37.72	 3.06
AV-12-EX2-OT1-UNI_A_MP	 5	 80	 54.69	 31.00	 39.00	 37.79	 34.89
AV-12-EX2-OT1-UNI_A_NA_N2	 7	 128	 82.20	 35.25	 38.93	 37.75	 18.57
AV-12-EX2-OT1-UNI_A_NP	 10	 171	 127.86	 31.20	 38.84	 37.53	 4.14
AV-12-EX2-OT1-UNI_A_PB1	 7	 210	 131.70	 32.14	 38.85	 37.80	 8.92
AV-12-EX2-OT2-MBT_A_HA_H6	 4	 47	 31.96	 33.55	 38.88	 37.67	 99.94
AV-12-EX2-OT2-MBT_A_MP	 14	 113	 79.50	 32.67	 38.71	 37.65	 17.50
AV-12-EX2-OT2-MBT_A_NA_N2	 1	 57	 28.36	 29.43	 39.00	 37.77	 83.87
AV-12-EX2-OT2-MBT_A_NP	 5	 55	 38.09	 31.20	 38.84	 37.51	 92.79
AV-12-EX2-OT2-MBT_A_NS	 14	 99	 65.85	 33.50	 38.84	 37.88	 27.41
AV-12-EX2-OT2-MBT_A_PA	 2	 54	 33.20	 34.75	 39.00	 37.66	 97.17
AV-12-EX2-OT2-MBT_A_PB1	 1	 26	 12.93	 30.86	 39.00	 37.37	 99.96
AV-12-EX2-OT2-MBT_A_PB2	 3	 35	 22.53	 32.33	 39.00	 37.68	 99.96
AV-12-EX2-OT2-UNI_A_HA_H6	 2	 169	 99.58	 30.91	 38.85	 37.81	 13.16
AV-12-EX2-OT2-UNI_A_MP	 17	 145	 91.98	 33.00	 38.67	 37.66	 12.92
AV-12-EX2-OT2-UNI_A_NA_N2	 2	 30	 21.21	 32.75	 39.00	 37.81	 99.93
AV-12-EX2-OT2-UNI_A_NS	 25	 175	 122.02	 35.04	 38.88	 38.00	 9.54
AV-12-EX2-OT2-UNI_A_PA	 1	 20	 10.79	 16.00	 39.09	 37.67	 99.95
AV-12-EX2-OT2-UNI_A_PB1	 1	 59	 22.71	 33.89	 39.00	 37.88	 92.63
AV-12-EX2-OT2-UNI_A_PB2	 1	 19	 10.39	 31.67	 39.00	 37.87	 99.96
AV-13-EX2-OT1-MBT_A_HA_H12	 22	 220	 152.10	 35.08	 38.79	 37.62	 4.78
AV-13-EX2-OT1-MBT_A_MP	 39	 256	 178.05	 33.73	 38.69	 37.78	 1.42
AV-13-EX2-OT1-MBT_A_NA_N1	 1	 6	 2.37	 18.00	 39.00	 36.69	 99.90
AV-13-EX2-OT1-MBT_A_NP	 167	 1641	 1233.58	 33.82	 38.59	 37.67	 0.00
AV-13-EX2-OT1-MBT_A_NS	 987	 6186	 4620.03	 35.41	 38.62	 37.84	 0.00
AV-13-EX2-OT1-MBT_A_PA	 58	 343	 243.63	 35.06	 38.79	 37.75	 0.00
AV-13-EX2-OT1-MBT_A_PB1	 14	 192	 133.78	 34.21	 38.76	 37.68	 5.19
AV-13-EX2-OT1-MBT_A_PB2	 126	 827	 540.99	 33.85	 38.57	 37.68	 0.00
AV-13-EX2-OT1-UNI_A_MP	 83	 1268	 825.35	 33.43	 38.64	 37.79	 0.00
AV-13-EX2-OT1-UNI_A_NP	 1	 6	 2.59	 12.00	 40.00	 33.08	 99.89
AV-13-EX2-OT2-MBT_A_HA_H12	 1	 20	 8.94	 15.00	 39.33	 37.97	 99.94
AV-13-EX2-OT2-MBT_A_MP	 2	 34	 19.49	 28.50	 38.93	 37.70	 99.90
AV-13-EX2-OT2-MBT_A_NA_N8	 1	 13	 7.48	 25.00	 39.25	 37.81	 99.93
AV-13-EX2-OT2-MBT_A_NP	 1	 56	 37.52	 32.60	 38.94	 37.64	 89.99
AV-13-EX2-OT2-MBT_A_NS	 27	 139	 104.17	 35.76	 38.90	 37.95	 8.10
AV-13-EX2-OT2-MBT_A_PA	 1	 7	 3.59	 26.00	 39.20	 37.92	 99.95
AV-13-EX2-OT2-MBT_A_PB1	 1	 15	 8.04	 16.00	 39.17	 37.85	 99.96
AV-13-EX2-OT2-MBT_A_PB2	 1	 8	 3.28	 15.00	 40.00	 37.92	 99.95
AV-13-EX2-OT2-UNI_A_MP	 1	 9	 5.00	 16.00	 39.00	 36.07	 99.89
AV-13-EX2-OT2-UNI_A_NA_N8	 1	 24	 14.59	 27.22	 39.00	 37.69	 99.93
AV-13-EX2-OT2-UNI_A_NP	 9	 123	 88.78	 29.22	 38.86	 37.76	 6.81
AV-13-EX2-OT2-UNI_A_NS	 5	 58	 39.41	 33.43	 38.93	 37.70	 66.75
AV-13-EX2-OT2-UNI_A_PB1	 1	 120	 36.98	 28.00	 39.09	 37.86	 68.33
AV-13-EX2-OT2-UNI_A_PB2	 2	 17	 7.97	 28.00	 39.17	 37.80	 99.96
AV-4-EX2-OT1-MBT_A_HA_H9	 12	 139	 101.22	 34.98	 38.88	 37.56	 6.53
AV-4-EX2-OT1-MBT_A_MP	 283	 2001	 1429.51	 34.07	 38.29	 37.48	 0.00
AV-4-EX2-OT1-MBT_A_NA_N2	 1	 18	 9.22	 31.75	 39.33	 38.07	 99.93
AV-4-EX2-OT1-MBT_A_NP	 36	 444	 316.36	 33.64	 38.47	 37.40	 0.40
AV-4-EX2-OT1-MBT_A_NS	 47	 365	 266.86	 34.91	 38.60	 37.72	 0.48
AV-4-EX2-OT1-MBT_A_PA	 19	 131	 96.54	 34.30	 38.82	 37.35	 5.58
AV-4-EX2-OT1-MBT_A_PB1	 1	 21	 12.63	 29.83	 39.00	 37.32	 99.96
AV-4-EX2-OT1-MBT_A_PB2	 10	 83	 52.10	 32.13	 38.88	 37.58	 39.46
AV-4-EX2-OT1-UNI_A_NA_N2	 12	 313	 208.07	 36.26	 38.86	 37.94	 3.97
AV-4-EX2-OT1-UNI_A_NS	 41	 380	 268.61	 35.96	 38.68	 37.93	 0.95
AV-4-EX2-OT1-UNI_A_PA	 19	 163	 114.05	 34.50	 38.93	 37.74	 5.11
AV-4-EX2-OT1-UNI_A_PB1	 31	 1175	 806.15	 33.45	 38.61	 37.90	 0.78
AV-4-EX2-OT1-UNI_A_PB2	 22	 198	 127.61	 34.38	 38.83	 37.83	 3.38
AV-4-EX2-OT2-MBT_A_HA_H9	 4	 46	 33.06	 32.00	 39.00	 37.78	 99.94
AV-4-EX2-OT2-MBT_A_MP	 6	 39	 29.95	 34.92	 39.00	 37.80	 99.90
AV-4-EX2-OT2-MBT_A_NA_N2	 1	 21	 12.32	 33.00	 39.50	 37.85	 99.93
AV-4-EX2-OT2-MBT_A_NP	 2	 41	 26.79	 32.00	 39.00	 37.57	 99.93
AV-4-EX2-OT2-MBT_A_NS	 32	 216	 142.45	 34.92	 38.74	 37.95	 7.39
AV-4-EX2-OT2-MBT_A_PA	 1	 38	 24.22	 32.00	 39.00	 37.54	 99.95
AV-4-EX2-OT2-MBT_A_PB1	 1	 12	 5.24	 16.00	 39.25	 37.61	 99.95
AV-4-EX2-OT2-MBT_A_PB2	 1	 28	 15.08	 32.00	 39.00	 37.56	 99.96
AV-4-EX2-OT2-UNI_A_HA_H9	 5	 109	 71.83	 34.83	 39.00	 38.03	 16.86
AV-4-EX2-OT2-UNI_A_MP	 26	 329	 233.06	 35.10	 38.75	 38.07	 1.32
AV-4-EX2-OT2-UNI_A_NA_N2	 5	 119	 68.02	 34.44	 39.00	 38.04	 21.05
AV-4-EX2-OT2-UNI_A_NP	 12	 159	 120.39	 33.75	 38.95	 37.91	 3.54
AV-4-EX2-OT2-UNI_A_NS	 113	 723	 531.61	 35.27	 38.72	 38.07	 0.00
AV-4-EX2-OT2-UNI_A_PA	 5	 33	 22.37	 31.20	 39.00	 37.91	 99.95
AV-4-EX2-OT2-UNI_A_PB1	 25	 396	 291.15	 35.80	 38.78	 38.05	 1.67
AV-4-EX2-OT2-UNI_A_PB2	 1	 45	 17.83	 34.29	 39.17	 38.16	 99.96
AV-5-EX2-OT1-MBT_A_HA_H9	 9	 120	 80.81	 33.83	 38.78	 37.49	 9.56
AV-5-EX2-OT1-MBT_A_MP	 104	 993	 701.42	 32.94	 38.40	 37.44	 0.00
AV-5-EX2-OT1-MBT_A_NA_N2	 31	 444	 312.80	 35.18	 38.74	 37.66	 1.77
AV-5-EX2-OT1-MBT_A_NP	 11	 94	 66.78	 33.45	 38.84	 37.52	 22.63
AV-5-EX2-OT1-MBT_A_NS	 107	 1837	 1125.82	 34.59	 38.57	 37.64	 0.00
AV-5-EX2-OT1-MBT_A_PA	 15	 88	 57.64	 33.29	 38.91	 37.38	 31.97
AV-5-EX2-OT1-MBT_A_PB1	 4	 133	 93.06	 35.42	 39.00	 37.65	 11.16
AV-5-EX2-OT1-MBT_A_PB2	 11	 71	 42.70	 34.03	 38.86	 37.51	 73.74
AV-5-EX2-OT1-UNI_A_HA_H9	 22	 488	 370.43	 35.65	 38.77	 37.88	 0.77
AV-5-EX2-OT1-UNI_A_PA	 28	 185	 133.11	 35.32	 38.75	 37.72	 3.07
AV-5-EX2-OT2-MBT_A_HA_H6	 1	 12	 4.03	 25.00	 39.40	 38.53	 99.94
AV-5-EX2-OT2-MBT_A_MP	 7	 57	 38.12	 33.88	 38.90	 38.06	 80.47
AV-5-EX2-OT2-MBT_A_NA_N2	 2	 23	 11.43	 32.50	 39.14	 38.29	 99.93
AV-5-EX2-OT2-MBT_A_NP	 1	 4	 1.87	 14.00	 40.00	 37.47	 99.93
AV-5-EX2-OT2-MBT_A_NS	 7	 59	 36.41	 34.86	 38.95	 37.99	 79.26
AV-5-EX2-OT2-MBT_A_PA	 1	 18	 11.61	 33.33	 39.09	 38.28	 99.95
AV-5-EX2-OT2-MBT_A_PB1	 1	 7	 3.53	 28.67	 40.00	 38.41	 99.95
AV-5-EX2-OT2-MBT_A_PB2	 1	 6	 2.92	 12.00	 40.00	 36.35	 99.95
AV-5-EX2-OT2-UNI_A_HA_H6	 1	 19	 8.33	 31.17	 39.25	 37.70	 99.94
AV-5-EX2-OT2-UNI_A_MP	 2	 51	 32.11	 32.77	 38.92	 37.60	 96.53
AV-5-EX2-OT2-UNI_A_NA_N2	 1	 17	 9.88	 20.00	 39.11	 38.02	 99.93
AV-5-EX2-OT2-UNI_A_NP	 2	 17	 10.70	 16.00	 39.08	 37.42	 99.93
AV-5-EX2-OT2-UNI_A_NS	 5	 59	 39.77	 33.14	 38.94	 38.03	 58.88
AV-6-EX2-OT1-MBT_A_HA_H4	 119	 1123	 763.74	 34.82	 38.60	 37.65	 0.00
AV-6-EX2-OT1-MBT_A_MP	 836	 6389	 4534.04	 33.21	 38.41	 37.71	 0.00
AV-6-EX2-OT1-MBT_A_NA_N6	 489	 4209	 3138.18	 35.86	 38.60	 37.76	 0.00
AV-6-EX2-OT1-MBT_A_NP	 314	 2565	 1872.79	 34.14	 38.44	 37.61	 0.00
AV-6-EX2-OT1-MBT_A_NS	 907	 4472	 3362.82	 35.02	 38.61	 37.74	 0.00
